#,Region,District,Jan-2022,Feb-2022,Mar-2022,Apr-2022,May-2022,Jun-2022
,,,,,,,,
1,Awdal,Borama,0.38,0.48,0.56,0.89,0.96,1
2,Awdal,Baki,2.5,2.18,1.06,1.08,0.88,1.07
3,Awdal,Lughaye,1.82,1.37,0.92,1.23,1.35,1.03
4,Awdal,Zeylac,0.58,0.8,1.11,1.15,1.25,1.33
5,Woqooyi Galbeed,Hargeysa,0.43,0.48,0.46,0.52,0.48,0.68
6,Woqooyi Galbeed,Berbera,0.97,0.76,0.51,1.15,0.84,0.63
7,Woqooyi Galbeed,Gebiley,0.41,0.66,0.79,0.58,0.74,0.91
8,Togdheer,Burco,1.34,0.96,0.68,0.52,0.57,0.71
9,Togdheer,Buuhoodle,0.86,0.86,0.84,0.48,0.88,0.94
10,Togdheer,Owdweyne,0.58,0.65,0.73,0.56,0.55,0.69
11,Togdheer,Sheikh,0.58,0.56,0.35,0.55,0.47,0.61
12,Sool,Laas Caanood,0.96,0.71,0.36,0.42,0.52,0.45
13,Sool,Caynabo,0.57,0.58,0.64,0.48,0.52,0.6
14,Sool,Taleex,0.87,0.89,0.76,0.44,0.37,0.42
15,Sool,Xudun,0.75,0.77,0.78,0.49,0.49,0.43
16,Sanaag,Ceerigaabo,0.56,0.66,0.72,0.6,0.46,0.55
17,Sanaag,Ceel Afweyn,0.94,0.94,0.7,0.53,0.49,0.59
18,Sanaag,Laasqoray,0.87,0.97,0.65,0.59,0.44,0.48
19,Bari,Bossaso,0.69,0.75,0.7,0.53,0.35,0.32
20,Bari,Bandarbeyla,0.43,0.41,0.4,0.46,0.38,0.89
21,Bari,Caluula,0.47,0.43,0.56,0.59,0.54,0.45
22,Bari,Iskushuban,0.5,0.5,0.52,0.45,0.36,0.3
23,Bari,Qandala,0.45,0.48,0.55,0.75,0.63,0.45
24,Bari,Qardho,0.66,0.61,0.58,0.48,0.39,0.34
25,Nugaal,Garoowe,0.59,0.59,0.61,0.45,0.47,0.42
26,Nugaal,Burtinle,0.33,0.34,0.38,0.42,0.71,0.76
27,Nugaal,Eyl,0.33,0.34,0.4,0.38,0.42,0.39
28,Mudug,Gaalkacyo,0.29,0.31,0.36,0.49,0.65,0.75
29,Mudug,Galdogob,0.29,0.32,0.39,0.51,0.85,0.92
30,Mudug,Hobyo,0.34,0.35,0.39,0.42,0.5,0.45
31,Mudug,Jariiban,0.47,0.48,0.48,0.42,0.53,0.47
