#,Region,District,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009
,,,,,,,,
1,Awdal,Borama,0.157,0.168,0.181,0.181,0.173,0.158
2,Awdal,Baki,0.118,0.123,0.134,0.147,0.15,0.138
3,Awdal,Lughaye,0.091,0.09,0.093,0.096,0.098,0.094
4,Awdal,Zeylac,0.087,0.091,0.096,0.1,0.101,0.095
5,Woqooyi Galbeed,Hargeysa,0,0,0,0,0,0
6,Woqooyi Galbeed,Berbera,0.089,0.092,0.098,0.11,0.118,0.115
7,Woqooyi Galbeed,Gebiley,0.171,0.186,0.201,0.208,0.202,0.176
8,Togdheer,Burco,0.145,0.144,0.154,0.183,0.183,0.167
9,Togdheer,Buuhoodle,0.154,0.153,0.178,0.245,0.229,0.189
10,Togdheer,Owdweyne,0.142,0.138,0.142,0.164,0.169,0.157
11,Togdheer,Sheikh,0.139,0.139,0.162,0.21,0.216,0.196
12,Sool,Laas Caanood,0.121,0.121,0.148,0.22,0.204,0.168
13,Sool,Caynabo,0.13,0.13,0.138,0.165,0.16,0.146
14,Sool,Taleex,0.114,0.114,0.125,0.159,0.15,0.136
15,Sool,Xudun,0.109,0.112,0.128,0.177,0.157,0.135
16,Sanaag,Ceerigaabo,0.117,0.117,0.127,0.145,0.141,0.132
17,Sanaag,Ceel Afweyn,0.12,0.121,0.13,0.15,0.149,0.14
18,Sanaag,Laasqoray,0.131,0.131,0.143,0.161,0.162,0.157
19,Bari,Bossaso,0.129,0.129,0.135,0.145,0.149,0.148
20,Bari,Bandarbeyla,0.123,0.121,0.126,0.137,0.141,0.139
21,Bari,Caluula,0.152,0.153,0.164,0.177,0.182,0.187
22,Bari,Iskushuban,0.126,0.126,0.13,0.136,0.139,0.14
23,Bari,Qandala,0.146,0.145,0.153,0.166,0.167,0.165
24,Bari,Qardho,0.118,0.117,0.125,0.143,0.142,0.134
25,Nugaal,Garoowe,0.122,0.119,0.128,0.162,0.157,0.142
26,Nugaal,Burtinle,0.144,0.142,0.153,0.197,0.194,0.173
27,Nugaal,Eyl,0.143,0.136,0.15,0.182,0.167,0.155
28,Mudug,Gaalkacyo,0.148,0.147,0.15,0.173,0.176,0.162
29,Mudug,Galdogob,0.155,0.153,0.156,0.185,0.188,0.17
30,Mudug,Hobyo,0.14,0.135,0.136,0.155,0.164,0.16
31,Mudug,Jariiban,0.146,0.14,0.144,0.165,0.167,0.155
32,Mudug,Xarardheere,0.159,0.149,0.147,0.182,0.228,0.216
33,Galgaduud,Dhuusamarreeb,0.163,0.164,0.167,0.183,0.197,0.18
34,Galgaduud,Cabudwaaq,0.171,0.171,0.171,0.178,0.19,0.179
35,Galgaduud,Cadaado,0.156,0.157,0.158,0.174,0.188,0.174
36,Galgaduud,Ceel Buur,0.184,0.175,0.177,0.221,0.277,0.234
37,Galgaduud,Ceel Dheer,0.185,0.168,0.169,0.228,0.312,0.286
38,Hiraan,Belet Weyne,0.174,0.17,0.177,0.235,0.287,0.231
39,Hiraan,Bulo Burto,0.195,0.183,0.192,0.284,0.38,0.3
40,Hiraan,Jalalaqsi,0.214,0.191,0.189,0.26,0.345,0.302
41,Middle Shabelle,Jowhar,0.239,0.209,0.205,0.284,0.422,0.373
42,Middle Shabelle,Adan Yabaal,0.208,0.185,0.181,0.257,0.382,0.371
43,Middle Shabelle,Balcad,0.349,0.288,0.252,0.312,0.449,0.428
44,Middle Shabelle,Cadale,0.231,0.199,0.187,0.247,0.369,0.383
45,Banadir,Mogadishu,,,,,,
46,Lower Shabelle,Marka,0.55,0.481,0.386,0.372,0.502,0.454
47,Lower Shabelle,Afgooye,0.417,0.329,0.268,0.348,0.513,0.44
48,Lower Shabelle,Baraawe,0.582,0.544,0.436,0.405,0.563,0.518
49,Lower Shabelle,Kurtunwaarey,0.597,0.518,0.417,0.462,0.689,0.657
50,Lower Shabelle,Qoryooley,0.529,0.433,0.35,0.437,0.659,0.599
51,Lower Shabelle,Sablaale,0.593,0.544,0.46,0.508,0.722,0.689
52,Lower Shabelle,Wanla Weyn,0.236,0.201,0.193,0.297,0.432,0.354
53,Bay,Baydhaba,0.267,0.247,0.257,0.412,0.589,0.516
54,Bay,Buur Hakaba,0.373,0.318,0.281,0.4,0.589,0.516
55,Bay,Diinsoor,0.393,0.336,0.291,0.388,0.593,0.523
56,Bay,Qansax Dheere,0.256,0.219,0.22,0.336,0.505,0.453
57,Bakool,Xudur,0.209,0.192,0.2,0.33,0.418,0.306
58,Bakool,Ceel Barde,0.192,0.186,0.199,0.309,0.367,0.258
59,Bakool,Tayeeglow,0.239,0.224,0.239,0.384,0.502,0.378
60,Bakool,Waajid,0.208,0.192,0.202,0.33,0.473,0.35
61,Bakool,Rab Dhuure,0.143,0.134,0.138,0.198,0.295,0.225
62,Gedo,Garbahaarey,0.202,0.188,0.196,0.296,0.402,0.304
63,Gedo,Baardheere,0.257,0.223,0.22,0.324,0.508,0.438
64,Gedo,Belet Xaawo,0.209,0.197,0.207,0.297,0.377,0.286
65,Gedo,Ceel Waaq,0.249,0.218,0.224,0.338,0.501,0.417
66,Gedo,Doolow,0.153,0.147,0.151,0.239,0.363,0.269
67,Gedo,Luuq,0.157,0.151,0.157,0.256,0.38,0.27
68,Middle Juba,Bu'aale,0.537,0.483,0.403,0.463,0.689,0.626
