#,Region,District,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010
,,,,,,,,
1,Awdal,Borama,55.956,108.14,76.125,4.063,6.18,4.686
2,Awdal,Baki,21.369,40.924,29.602,10.675,5.018,5.839
3,Awdal,Lughaye,4.751,5.801,8.182,10.24,4.205,6.174
4,Awdal,Zeylac,16.001,25.676,15.49,6.635,4.851,6.423
5,Woqooyi Galbeed,Hargeysa,40.045,39.2,62.559,15.06,5.585,1.668
6,Woqooyi Galbeed,Berbera,7.198,6.948,11.634,33.243,5.625,7.506
7,Woqooyi Galbeed,Gebiley,59.994,77.273,69.663,5.172,5.415,2.58
8,Togdheer,Burco,12.787,5.844,26.289,24.402,5.363,2.132
9,Togdheer,Buuhoodle,2.855,1.839,12.437,32.125,3.692,3.402
10,Togdheer,Owdweyne,29.397,19.254,51.428,19.525,6.067,2.729
11,Togdheer,Sheikh,28.727,37.792,51.58,38.235,5.262,8.004
12,Sool,Laas Caanood,0.166,0.728,9.79,33.608,3.362,1.854
13,Sool,Caynabo,6.256,2.193,19.948,23.45,4.458,2.01
14,Sool,Taleex,0.889,1.877,10.639,18.28,2.973,0.304
15,Sool,Xudun,1.57,0.721,8.793,15.326,3.413,1.892
16,Sanaag,Ceerigaabo,3.001,12.212,45.308,12.794,2.873,2.369
17,Sanaag,Ceel Afweyn,5.618,3.047,31.939,15.425,3.653,3.199
18,Sanaag,Laasqoray,1.458,6.872,24.47,11.655,1.997,3.792
19,Bari,Bossaso,0.768,5.507,18.677,11.929,1.396,7.445
20,Bari,Bandarbeyla,0.127,2.445,4,11.082,6.822,9.443
21,Bari,Caluula,0.264,2.676,5.36,3.759,8.092,16.703
22,Bari,Iskushuban,0.279,3.362,4.462,5.164,6.33,3.924
23,Bari,Qandala,0.988,7.224,19.705,11.897,2.355,8.655
24,Bari,Qardho,0.486,2.812,5.82,13.497,2.411,1.835
25,Nugaal,Garoowe,0.074,1.362,3.996,24.616,2.759,0.334
26,Nugaal,Burtinle,0.102,1.139,4.175,32.703,2.711,0.812
27,Nugaal,Eyl,0.047,0.568,3.255,18.175,4.373,1.923
28,Mudug,Gaalkacyo,0.487,0.532,2.295,27.112,3.429,1.217
29,Mudug,Galdogob,0.344,0.328,4.522,25.948,3.164,3.051
30,Mudug,Hobyo,2.387,1.387,2.143,10.023,3.88,3.164
31,Mudug,Jariiban,0.501,0.116,2.128,20.735,3.995,1.802
32,Mudug,Xarardheere,15.384,11.059,1.083,8.801,6.513,9.287
