#,Region,District,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020
,,,,,,,,
1,Awdal,Borama,5000,5000,5000,5000,5000,5000
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,5000,5000,5000,5000,5000,5000
5,Woqooyi Galbeed,Hargeysa,8000,8000,8000,8000,8000,9600
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,10000,10000,10000,10000,10250,10000
8,Togdheer,Burco,10000,10000,10000,10000,10000,10000
9,Togdheer,Buuhoodle,,,,,,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,62000,69000,72000,66250,46250,63600
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,,,,,
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,45000,45000,45000,45000,45000,45000
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,,,,
19,Bari,Bossaso,12100,12000,12000,12000,12000,12100
20,Bari,Bandarbeyla,30000,30000,30000,30000,30000,30000
21,Bari,Caluula,20000,20000,20000,22750,25000,25000
22,Bari,Iskushuban,30000,30000,30000,30000,30000,30000
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,,,,,
25,Nugaal,Garoowe,8500,8500,8700,9125,9420,9716
26,Nugaal,Burtinle,,,,,,
27,Nugaal,Eyl,,,,,,
28,Mudug,Gaalkacyo,20000,20000,20000,28500,29750,28600
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,,,,,,
31,Mudug,Jariiban,,,,,,
32,Mudug,Xarardheere,6000,8000,6000,7500,5000,6800
33,Galgaduud,Dhuusamarreeb,20000,25000,25000,25000,25000,25000
34,Galgaduud,Cabudwaaq,10000,10000,10000,10000,10000,10000
35,Galgaduud,Cadaado,,,,,,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,18000,20000,20000,21750,20000,20000
38,Hiraan,Belet Weyne,25000,25000,25000,25000,25000,25000
39,Hiraan,Bulo Burto,11000,11000,11000,12000,12000,12000
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,15000,16000,16000,16000,16000,16000
42,Middle Shabelle,Adan Yabaal,15000,15000,15000,15000,15000,15000
43,Middle Shabelle,Balcad,,,,,,
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,,,,,,530000
46,Lower Shabelle,Marka,48250,46500,38250,47500,47750,47500
47,Lower Shabelle,Afgooye,,,,,,
48,Lower Shabelle,Baraawe,,,,,,
49,Lower Shabelle,Kurtunwaarey,,,,,,
50,Lower Shabelle,Qoryooley,15000,15000,22500,19500,20000,17500
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,6000,6000,6000,6000,6000,6000
53,Bay,Baydhaba,20000,20000,20000,27500,25000,25000
54,Bay,Buur Hakaba,,,,,,
55,Bay,Diinsoor,30000,30000,30000,30000,30000,32000
56,Bay,Qansax Dheere,25000,25000,25000,23750,20000,24000
57,Bakool,Xudur,30000,30000,30000,30000,30000,30000
58,Bakool,Ceel Barde,30000,30000,30000,,,30000
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,,,,,,
63,Gedo,Baardheere,8000,8000,8000,8000,8000,8000
64,Gedo,Belet Xaawo,22000,22000,22000,22000,22000,22000
65,Gedo,Ceel Waaq,12125,12125,12100,13500,16250,16400
66,Gedo,Doolow,,,,,,
67,Gedo,Luuq,15000,14500,14600,15000,15000,15000
68,Middle Juba,Bu'aale,25000,28000,28000,27750,27750,31800
69,Middle Juba,Jilib,30000,25750,25000,25250,24125,30600
70,Middle Juba,Saakow,27750,28000,25500,25500,26125,31400
71,Lower Juba,Kismaayo,80000,70000,70000,70000,70000,70000
72,Lower Juba,Afmadow,30000,30000,25000,25000,23750,25000
73,Lower Juba,Badhaadhe,,,,,,
74,Lower Juba,Jamaame,10000,10000,10000,10000,10000,10000
