#,Region,District,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021
,,,,,,,,
1,Awdal,Borama,0,0,0,0,0,0
2,Awdal,Baki,0,0,0,0,0,0
3,Awdal,Lughaye,0,0,0,0,0,0
4,Awdal,Zeylac,0,0,0,0,0,0
5,Woqooyi Galbeed,Hargeysa,0,0,0,0,0,0
6,Woqooyi Galbeed,Berbera,0,0,0,0,0,0
7,Woqooyi Galbeed,Gebiley,0,0,0,0,0,0
8,Togdheer,Burco,0,0,0,1,0,0
9,Togdheer,Buuhoodle,0,0,0,0,0,2
10,Togdheer,Owdweyne,0,0,0,0,0,3
11,Togdheer,Sheikh,0,0,0,0,0,0
12,Sool,Laas Caanood,0,3,1,1,0,14
13,Sool,Caynabo,0,0,0,0,0,0
14,Sool,Taleex,0,0,0,0,0,0
15,Sool,Xudun,0,0,1,0,0,0
16,Sanaag,Ceerigaabo,0,0,1,0,0,0
17,Sanaag,Ceel Afweyn,1,1,0,0,0,0
18,Sanaag,Laasqoray,0,0,0,0,0,0
19,Bari,Bossaso,0,10,0,2,0,20
20,Bari,Bandarbeyla,0,0,0,0,0,0
21,Bari,Caluula,0,0,0,0,0,0
22,Bari,Iskushuban,0,0,0,2,0,0
23,Bari,Qandala,2,1,0,0,0,0
24,Bari,Qardho,0,0,0,0,0,0
25,Nugaal,Garoowe,1,1,1,0,0,0
26,Nugaal,Burtinle,0,0,0,0,0,0
27,Nugaal,Eyl,0,0,0,0,0,0
28,Mudug,Gaalkacyo,8,0,1,0,0,0
29,Mudug,Galdogob,3,0,5,0,0,0
30,Mudug,Hobyo,94,45,0,1,0,0
31,Mudug,Jariiban,3,0,0,0,0,0
32,Mudug,Xarardheere,7,140,0,0,0,0
33,Galgaduud,Dhuusamarreeb,17,6,1,21,7,0
34,Galgaduud,Cabudwaaq,0,2,15,3,6,8
35,Galgaduud,Cadaado,0,0,0,0,0,1
36,Galgaduud,Ceel Buur,0,1,0,0,0,0
37,Galgaduud,Ceel Dheer,0,0,0,0,0,0
38,Hiraan,Belet Weyne,17,12,6,4,1,13
39,Hiraan,Bulo Burto,18,0,2,1,0,0
40,Hiraan,Jalalaqsi,0,0,0,1,5,0
41,Middle Shabelle,Jowhar,2,1,7,0,7,8
42,Middle Shabelle,Adan Yabaal,0,0,0,0,0,0
43,Middle Shabelle,Balcad,6,0,0,7,1,18
44,Middle Shabelle,Cadale,1,0,0,0,0,0
45,Banadir,Mogadishu,48,34,45,65,40,42
46,Lower Shabelle,Marka,4,3,6,34,13,12
47,Lower Shabelle,Afgooye,22,13,15,31,19,26
48,Lower Shabelle,Baraawe,0,0,3,4,8,0
49,Lower Shabelle,Kurtunwaarey,0,0,0,2,0,0
50,Lower Shabelle,Qoryooley,3,0,0,0,0,0
51,Lower Shabelle,Sablaale,0,0,0,0,0,0
52,Lower Shabelle,Wanla Weyn,0,0,0,0,4,0
53,Bay,Baydhaba,4,12,8,4,15,14
54,Bay,Buur Hakaba,2,0,1,3,0,4
55,Bay,Diinsoor,0,2,0,0,0,3
56,Bay,Qansax Dheere,0,0,3,0,0,0
57,Bakool,Xudur,2,0,1,2,6,0
58,Bakool,Ceel Barde,0,0,0,0,0,0
59,Bakool,Tayeeglow,0,0,0,0,0,0
60,Bakool,Waajid,0,0,0,0,0,12
61,Bakool,Rab Dhuure,0,0,0,0,0,0
62,Gedo,Garbahaarey,1,0,0,0,4,3
63,Gedo,Baardheere,0,2,1,1,2,0
64,Gedo,Belet Xaawo,0,0,1,0,2,0
65,Gedo,Ceel Waaq,2,0,5,0,0,0
66,Gedo,Doolow,14,0,0,0,0,0
67,Gedo,Luuq,1,0,0,0,0,0
68,Middle Juba,Bu'aale,0,0,0,0,0,0
69,Middle Juba,Jilib,0,0,0,0,0,0
70,Middle Juba,Saakow,0,0,0,0,0,0
71,Lower Juba,Kismaayo,11,18,9,8,2,13
72,Lower Juba,Afmadow,4,1,0,2,7,3
73,Lower Juba,Badhaadhe,24,61,6,4,0,0
74,Lower Juba,Jamaame,15,3,0,4,0,0
