#,Region,District,Jul-2022,Aug-2022,Sep-2022,Oct-2022,Nov-2022,Dec-2022
,,,,,,,,
1,Awdal,Borama,,,,,,
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,,,,,,
5,Woqooyi Galbeed,Hargeysa,,,,,,
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,,,,,,
9,Togdheer,Buuhoodle,,,,,,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,,,,,,
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,,,,,
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,,,,
19,Bari,Bossaso,,,17,,,
20,Bari,Bandarbeyla,,,34,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,,14,,,
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,9,75,,,
25,Nugaal,Garoowe,,,64,,,
26,Nugaal,Burtinle,,,,,,
27,Nugaal,Eyl,,,6,,,
28,Mudug,Gaalkacyo,227,368,181,125,599,336
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,197,394,178,163,203,338
31,Mudug,Jariiban,,,,,,
32,Mudug,Xarardheere,,,,,,
33,Galgaduud,Dhuusamarreeb,296,67,81,56,84,71
34,Galgaduud,Cabudwaaq,153,16,38,25,26,37
35,Galgaduud,Cadaado,40,22,43,20,36,99
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,3,,103,6,3,6
39,Hiraan,Bulo Burto,38,18,33,48,56,100
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,62,80,15,22,56,51
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,2,4,3,3,3,
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,540,755,200,181,193,234
46,Lower Shabelle,Marka,50,24,26,10,18,35
47,Lower Shabelle,Afgooye,88,67,26,34,104,138
48,Lower Shabelle,Baraawe,33,83,113,53,44,74
49,Lower Shabelle,Kurtunwaarey,42,16,3,3,33,13
50,Lower Shabelle,Qoryooley,,,,,13,50
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,,,,,,
53,Bay,Baydhaba,194,96,89,106,202,154
54,Bay,Buur Hakaba,63,42,57,6,19,58
55,Bay,Diinsoor,,,,,,
56,Bay,Qansax Dheere,,,,,1,
57,Bakool,Xudur,18,77,5,,20,9
58,Bakool,Ceel Barde,,,,4,,
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,31,20,31,33,15,31
61,Bakool,Rab Dhuure,6,7,77,,,
62,Gedo,Garbahaarey,,13,34,,,3
63,Gedo,Baardheere,,14,6,3,8,68
64,Gedo,Belet Xaawo,,,,,145,1058
65,Gedo,Ceel Waaq,156,105,194,159,154,271
66,Gedo,Doolow,40,48,5,64,,5
67,Gedo,Luuq,270,286,387,191,440,297
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,,,,,,
70,Middle Juba,Saakow,,,,,,
71,Lower Juba,Kismaayo,220,261,1047,958,1123,1096
72,Lower Juba,Afmadow,132,101,114,89,215,1424
73,Lower Juba,Badhaadhe,59,31,14,8,6,11
74,Lower Juba,Jamaame,,,,,,
