#,Region,District,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020
,,,,,,,,
1,Awdal,Borama,,,,1,,
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,,,,,,
5,Woqooyi Galbeed,Hargeysa,,,,,,
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,1,,,,,
9,Togdheer,Buuhoodle,,,,125,,
10,Togdheer,Owdweyne,,,,2,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,,,,,,
13,Sool,Caynabo,,,,,,
14,Sool,Taleex,,,,,,
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,1,
18,Sanaag,Laasqoray,,,,,,
19,Bari,Bossaso,,,,,,35
20,Bari,Bandarbeyla,,,,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,,,,,
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,,,,,
25,Nugaal,Garoowe,,,,,,
26,Nugaal,Burtinle,,,,,,
27,Nugaal,Eyl,,,,,,
28,Mudug,Gaalkacyo,,17,17,,,
29,Mudug,Galdogob,,,,,,
30,Mudug,Hobyo,1,,,,,
31,Mudug,Jariiban,,,,,,
32,Mudug,Xarardheere,,,,,,
33,Galgaduud,Dhuusamarreeb,6,3,3,,10,3
34,Galgaduud,Cabudwaaq,2,11,11,2,,
35,Galgaduud,Cadaado,,8,8,2,2,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,4,,,,,
38,Hiraan,Belet Weyne,,2,2,,,
39,Hiraan,Bulo Burto,,,,,,
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,21,12,12,,5,1
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,,,,14,2,1
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,73,68,68,11,194,196
46,Lower Shabelle,Marka,67,14,14,18,16,21
47,Lower Shabelle,Afgooye,,,,4,,2
48,Lower Shabelle,Baraawe,,6,6,5,6,3
49,Lower Shabelle,Kurtunwaarey,9,11,11,8,8,14
50,Lower Shabelle,Qoryooley,24,21,21,22,33,26
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,8,,,,,
53,Bay,Baydhaba,639,305,305,465,359,286
54,Bay,Buur Hakaba,,,,,,
55,Bay,Diinsoor,92,,,,,
56,Bay,Qansax Dheere,9,14,14,19,1,4
57,Bakool,Xudur,56,20,20,293,18,14
58,Bakool,Ceel Barde,6,1,1,,2,2
59,Bakool,Tayeeglow,7,,,,,
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,13,3,3,,7,24
63,Gedo,Baardheere,,,,,,
64,Gedo,Belet Xaawo,4,3,3,,5,
65,Gedo,Ceel Waaq,,,,,,
66,Gedo,Doolow,123,293,293,,6,43
67,Gedo,Luuq,,1,1,,,2
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,98,91,91,92,79,93
70,Middle Juba,Saakow,,,,,,
71,Lower Juba,Kismaayo,22,10,10,7,4,1
72,Lower Juba,Afmadow,26,6,6,36,5,
73,Lower Juba,Badhaadhe,,,,,,
74,Lower Juba,Jamaame,,,,,,
