#,Region,District,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
,,,,,,,,
1,Awdal,Borama,1,,12,20,16,13
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,,1,,6,,3
5,Woqooyi Galbeed,Hargeysa,,,,,3,5
6,Woqooyi Galbeed,Berbera,3,,1,113,1,13
7,Woqooyi Galbeed,Gebiley,,,,,1,
8,Togdheer,Burco,,,,77,6,33
9,Togdheer,Buuhoodle,,,,159,,1
10,Togdheer,Owdweyne,,,,,,4
11,Togdheer,Sheikh,,,,7,1,7
12,Sool,Laas Caanood,1,3,5,23,1,2
13,Sool,Caynabo,,,,2,,1
14,Sool,Taleex,,,,,,
15,Sool,Xudun,,1,,4,,7
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,,1,1,
19,Bari,Bossaso,,,,,5,5
20,Bari,Bandarbeyla,,,,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,,,,,
23,Bari,Qandala,,,,,,
24,Bari,Qardho,,,,8,,
25,Nugaal,Garoowe,,,,16,,
26,Nugaal,Burtinle,,1,1,6,,
27,Nugaal,Eyl,,,,,,
28,Mudug,Gaalkacyo,9,54,33,79,,34
29,Mudug,Galdogob,,,,15,,
30,Mudug,Hobyo,,,,,,
31,Mudug,Jariiban,1,1,1,,,
32,Mudug,Xarardheere,9,11,11,,,
33,Galgaduud,Dhuusamarreeb,,4,7,,104,6
34,Galgaduud,Cabudwaaq,10,37,11,,100,6
35,Galgaduud,Cadaado,,12,11,,,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,3,,,67,,
39,Hiraan,Bulo Burto,,,12,95,,
40,Hiraan,Jalalaqsi,,,,15,,
41,Middle Shabelle,Jowhar,1,2,,53,,5
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,2,3,1,39,54,5
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,94,128,137,1565,280,256
46,Lower Shabelle,Marka,1,1,5,63,8,8
47,Lower Shabelle,Afgooye,1,,1,38,17,23
48,Lower Shabelle,Baraawe,12,13,,195,29,
49,Lower Shabelle,Kurtunwaarey,,,,45,343,3
50,Lower Shabelle,Qoryooley,,,,,20,3
51,Lower Shabelle,Sablaale,2,3,1,,,
52,Lower Shabelle,Wanla Weyn,,4,,16,249,
53,Bay,Baydhaba,1,14,,22,1,
54,Bay,Buur Hakaba,,,,,,
55,Bay,Diinsoor,,,,,,
56,Bay,Qansax Dheere,,,,3,,
57,Bakool,Xudur,,,,5,,
58,Bakool,Ceel Barde,,,,,,
59,Bakool,Tayeeglow,,,,42,,
60,Bakool,Waajid,,,,12,,
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,,,,,,3
63,Gedo,Baardheere,,,,,,
64,Gedo,Belet Xaawo,,,,,,
65,Gedo,Ceel Waaq,,,,,,
66,Gedo,Doolow,,,,,,
67,Gedo,Luuq,,,,4,,1
68,Middle Juba,Bu'aale,4,3,3,41,3,4
69,Middle Juba,Jilib,,6,3,36,6,3
70,Middle Juba,Saakow,,,,,,2
71,Lower Juba,Kismaayo,11,12,6,149,31,34
72,Lower Juba,Afmadow,,70,36,16,5,24
73,Lower Juba,Badhaadhe,,,,1,,
74,Lower Juba,Jamaame,3,3,8,61,8,7
