#,Region,District,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018
,,,,,,,,
1,Awdal,Borama,2,4,1,1,,
2,Awdal,Baki,,,,,,
3,Awdal,Lughaye,,,,,,
4,Awdal,Zeylac,10,4,1,,,
5,Woqooyi Galbeed,Hargeysa,18,12,48,15,8,5
6,Woqooyi Galbeed,Berbera,21,58,19,5,1,1
7,Woqooyi Galbeed,Gebiley,9,4,2,6,,
8,Togdheer,Burco,45,77,48,15,17,15
9,Togdheer,Buuhoodle,,4,4,5,3,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,2,4,,7,
12,Sool,Laas Caanood,105,189,57,15,8,2
13,Sool,Caynabo,,,,,3,
14,Sool,Taleex,2,,,,,
15,Sool,Xudun,5,,1,,,
16,Sanaag,Ceerigaabo,6,2,2,,,
17,Sanaag,Ceel Afweyn,,7,2,,,5
18,Sanaag,Laasqoray,95,39,6,,4,
19,Bari,Bossaso,18,16,,,,
20,Bari,Bandarbeyla,,1,,,,
21,Bari,Caluula,,,,,,
22,Bari,Iskushuban,,,,,,
23,Bari,Qandala,,,,,,
24,Bari,Qardho,29,17,,2,,
25,Nugaal,Garoowe,63,65,15,1,,
26,Nugaal,Burtinle,14,26,3,,,
27,Nugaal,Eyl,24,31,16,,,
28,Mudug,Gaalkacyo,175,42,61,49,94,29
29,Mudug,Galdogob,,1,,2,1,2
30,Mudug,Hobyo,90,,2,2,5,
31,Mudug,Jariiban,1,6,3,,,
32,Mudug,Xarardheere,29,,,,,
33,Galgaduud,Dhuusamarreeb,13,85,67,11,,
34,Galgaduud,Cabudwaaq,51,595,342,,,
35,Galgaduud,Cadaado,57,189,34,,9,
36,Galgaduud,Ceel Buur,17,17,,,,
37,Galgaduud,Ceel Dheer,10,40,14,,,3
38,Hiraan,Belet Weyne,2,28,,17,14,13
39,Hiraan,Bulo Burto,,2,4,11,3,4
40,Hiraan,Jalalaqsi,,,,,,
41,Middle Shabelle,Jowhar,9,20,,2,11,2
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,14,26,3,70,3,4
44,Middle Shabelle,Cadale,,,,,,
45,Banadir,Mogadishu,266,248,,101,71,6
46,Lower Shabelle,Marka,60,29,36,42,20,1
47,Lower Shabelle,Afgooye,13,8,6,1,4,5
48,Lower Shabelle,Baraawe,,,,,,4
49,Lower Shabelle,Kurtunwaarey,6,5,6,7,5,4
50,Lower Shabelle,Qoryooley,14,9,6,7,13,
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,1,,,5,,
53,Bay,Baydhaba,112,76,6,56,105,15
54,Bay,Buur Hakaba,,31,,34,77,
55,Bay,Diinsoor,,,,,,
56,Bay,Qansax Dheere,,,,2,2,
57,Bakool,Xudur,8,1,,,,
58,Bakool,Ceel Barde,,,,,,
59,Bakool,Tayeeglow,5,1,,,,
60,Bakool,Waajid,65,30,7,5,,2
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,,,,,,
63,Gedo,Baardheere,,,,,,
64,Gedo,Belet Xaawo,1,4,1,1,,
65,Gedo,Ceel Waaq,,,,,,
66,Gedo,Doolow,,3,1,1,,1
67,Gedo,Luuq,3,1,,,,
68,Middle Juba,Bu'aale,6,7,5,4,7,5
69,Middle Juba,Jilib,13,18,18,18,9,9
70,Middle Juba,Saakow,2,7,7,6,3,2
71,Lower Juba,Kismaayo,13,23,29,23,52,30
72,Lower Juba,Afmadow,9,11,9,9,3,1
73,Lower Juba,Badhaadhe,,,,,,
74,Lower Juba,Jamaame,12,14,12,9,,1
