#,Region,District,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019
,,,,,,,,
1,Awdal,Borama,,54,1030,149,19,
2,Awdal,Baki,,,166,,,
3,Awdal,Lughaye,,23,417,,77,
4,Awdal,Zeylac,,82,122,71,82,56
5,Woqooyi Galbeed,Hargeysa,390,440,2062,795,625,586
6,Woqooyi Galbeed,Berbera,99,90,76,70,92,102
7,Woqooyi Galbeed,Gebiley,567,287,859,221,355,405
8,Togdheer,Burco,57,,54,,10,
9,Togdheer,Buuhoodle,47,65,71,37,55,113
10,Togdheer,Owdweyne,,,,,3,
11,Togdheer,Sheikh,,3,14,6,4,6
12,Sool,Laas Caanood,,284,344,203,245,229
13,Sool,Caynabo,188,4,82,6,76,67
14,Sool,Taleex,25,4,10,5,,27
15,Sool,Xudun,47,64,67,59,77,
16,Sanaag,Ceerigaabo,83,51,246,86,131,193
17,Sanaag,Ceel Afweyn,6,8,11,7,182,112
18,Sanaag,Laasqoray,,,6,,39,83
19,Bari,Bossaso,3365,1240,273,174,1878,2741
20,Bari,Bandarbeyla,,,,,,351
21,Bari,Caluula,32,34,23,32,,305
22,Bari,Iskushuban,44,21,25,69,25,435
23,Bari,Qandala,52,89,67,72,,14
24,Bari,Qardho,,,,,,598
25,Nugaal,Garoowe,421,125,72,,30,170
26,Nugaal,Burtinle,40,219,410,249,,5
27,Nugaal,Eyl,60,49,34,22,,21
28,Mudug,Gaalkacyo,326,167,244,381,1530,542
29,Mudug,Galdogob,125,92,76,92,114,126
30,Mudug,Hobyo,,360,1130,583,79,779
31,Mudug,Jariiban,52,41,284,39,43,39
32,Mudug,Xarardheere,,,,61,83,67
33,Galgaduud,Dhuusamarreeb,,,,,323,350
34,Galgaduud,Cabudwaaq,,,,,130,
35,Galgaduud,Cadaado,367,412,456,425,265,436
36,Galgaduud,Ceel Buur,,352,,,,45
37,Galgaduud,Ceel Dheer,,,,270,225,280
38,Hiraan,Belet Weyne,,2495,2421,3263,2996,3794
39,Hiraan,Bulo Burto,1943,1764,331,,,
40,Hiraan,Jalalaqsi,,,,,,332
41,Middle Shabelle,Jowhar,,139,582,487,471,
42,Middle Shabelle,Adan Yabaal,,,,,,
43,Middle Shabelle,Balcad,,150,8563,754,811,922
44,Middle Shabelle,Cadale,,,,,,308
45,Banadir,Mogadishu,517,9876,11204,9249,11522,14796
46,Lower Shabelle,Marka,636,746,722,609,767,811
47,Lower Shabelle,Afgooye,1776,1554,1572,1358,869,2036
48,Lower Shabelle,Baraawe,227,239,,397,588,395
49,Lower Shabelle,Kurtunwaarey,,,,,,
50,Lower Shabelle,Qoryooley,111,439,232,175,138,101
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,284,330,502,151,149,
53,Bay,Baydhaba,1700,1982,2371,1822,1688,1673
54,Bay,Buur Hakaba,233,,589,,141,471
55,Bay,Diinsoor,,,414,,,
56,Bay,Qansax Dheere,592,210,161,315,221,378
57,Bakool,Xudur,1721,1374,2409,1500,1577,1999
58,Bakool,Ceel Barde,,180,537,434,309,472
59,Bakool,Tayeeglow,14,61,250,243,336,307
60,Bakool,Waajid,218,215,784,114,231,654
61,Bakool,Rab Dhuure,223,147,307,303,432,606
62,Gedo,Garbahaarey,,510,369,,,
63,Gedo,Baardheere,262,162,306,327,151,165
64,Gedo,Belet Xaawo,1059,896,922,1024,1402,1477
65,Gedo,Ceel Waaq,82,175,163,128,144,106
66,Gedo,Doolow,1202,1385,990,1050,490,1428
67,Gedo,Luuq,652,484,545,342,426,355
68,Middle Juba,Bu'aale,,,,,,
69,Middle Juba,Jilib,,,,,,
70,Middle Juba,Saakow,,,,,,
71,Lower Juba,Kismaayo,675,1220,2064,1051,424,708
72,Lower Juba,Afmadow,678,1325,1321,1424,1367,1158
73,Lower Juba,Badhaadhe,136,68,,,31,29
74,Lower Juba,Jamaame,,,,,,
