#,Region,District,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
,,,,,,,,,
1,Awdal,Borama,66,65,69,65,60,71,69
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,56,56,57,,,,53
4,Awdal,Zeylac,36,36,39,40,40,40,50
5,Woqooyi Galbeed,Hargeysa,60,62,69,66,67,73,60
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,68,73,68,69,59,58,61
8,Togdheer,Burco,64,59,58,57,51,57,51
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,71,66,78,85,83,74,74
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,64,46,48,,,,58
16,Sanaag,Ceerigaabo,55,51,60,57,54,48,135
17,Sanaag,Ceel Afweyn,59,55,64,,,,47
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,110,103,105,109,100,98,91
20,Bari,Bandarbeyla,62,57,61,63,61,58,48
21,Bari,Caluula,65,62,65,67,65,65,63
22,Bari,Iskushuban,63,57,58,63,61,61,56
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,84,83,80,87,82,71,70
26,Nugaal,Burtinle,55,50,46,,,,40
27,Nugaal,Eyl,38,32,29,,,,28
28,Mudug,Gaalkacyo,76,72,69,76,70,61,38
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,,,,,,,35
31,Mudug,Jariiban,53,49,37,,,,35
32,Mudug,Xarardheere,60,49,59,56,42,40,35
33,Galgaduud,Dhuusamarreeb,49,41,42,47,47,46,32
34,Galgaduud,Cabudwaaq,60,56,56,60,57,59,40
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,44,37,44,41,47,49,52
38,Hiraan,Belet Weyne,78,75,85,78,72,54,42
39,Hiraan,Bulo Burto,76,82,78,80,58,50,45
40,Hiraan,Jalalaqsi,120,113,115,,,,54
41,Middle Shabelle,Jowhar,129,155,209,253,271,228,162
42,Middle Shabelle,Adan Yabaal,42,42,42,40,83,85,64
43,Middle Shabelle,Balcad,110,104,131,,,,129
44,Middle Shabelle,Cadale,90,90,106,,,,64
45,Banadir,Mogadishu,179,179,205,265,267,217,173
46,Lower Shabelle,Marka,235,243,295,,,,236
47,Lower Shabelle,Afgooye,125,144,168,228,183,150,98
48,Lower Shabelle,Baraawe,103,111,126,,,,135
49,Lower Shabelle,Kurtunwaarey,166,197,197,,,,129
50,Lower Shabelle,Qoryooley,144,196,200,195,182,165,143
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,122,145,113,,113,,111
53,Bay,Baydhaba,171,181,190,212,208,131,79
54,Bay,Buur Hakaba,278,278,306,,,,133
55,Bay,Diinsoor,144,134,104,111,121,83,63
56,Bay,Qansax Dheere,216,209,294,215,253,200,133
57,Bakool,Xudur,63,67,68,68,70,55,30
58,Bakool,Ceel Barde,83,72,78,70,65,51,
59,Bakool,Tayeeglow,128,120,110,,,,63
60,Bakool,Waajid,92,99,97,97,95,55,32
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,98,113,124,120,78,68,64
64,Gedo,Belet Xaawo,52,53,57,58,53,42,41
65,Gedo,Ceel Waaq,68,70,74,79,74,67,62
66,Gedo,Doolow,74,67,71,,,,
67,Gedo,Luuq,69,59,69,73,68,41,40
68,Middle Juba,Bu'aale,81,63,74,67,75,67,57
69,Middle Juba,Jilib,94,82,78,54,72,62,57
70,Middle Juba,Saakow,77,63,69,67,70,66,63
71,Lower Juba,Kismaayo,71,80,90,100,90,80,100
72,Lower Juba,Afmadow,45,50,50,63,46,46,38
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,70,61,70,73,56,78,107
