#,Region,District,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017
,,,,,,,,,
1,Awdal,Borama,69,66,49,86,60,88,96
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,53,65,49,49,60,53,68
4,Awdal,Zeylac,50,50,50,86,38,50,54
5,Woqooyi Galbeed,Hargeysa,60,69,77,77,90,94,83
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,61,53,63,76,66,61,67
8,Togdheer,Burco,51,48,40,36,40,61,58
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,74,62,72,72,78,83,77
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,58,41,49,,,,
16,Sanaag,Ceerigaabo,135,35,36,40,41,56,85
17,Sanaag,Ceel Afweyn,47,38,39,34,35,52,79
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,91,94,100,100,93,105,105
20,Bari,Bandarbeyla,48,61,67,66,63,62,66
21,Bari,Caluula,63,64,54,51,51,56,60
22,Bari,Iskushuban,56,63,69,68,70,76,81
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,70,67,70,71,71,80,79
26,Nugaal,Burtinle,40,36,38,37,44,56,
27,Nugaal,Eyl,28,27,26,29,34,42,39
28,Mudug,Gaalkacyo,38,52,38,46,56,50,59
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,35,30,27,25,25,36,31
31,Mudug,Jariiban,35,33,34,33,34,43,43
32,Mudug,Xarardheere,35,35,41,45,44,47,42
33,Galgaduud,Dhuusamarreeb,32,32,35,40,44,45,45
34,Galgaduud,Cabudwaaq,40,30,40,58,60,60,65
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,52,33,38,45,50,50,50
38,Hiraan,Belet Weyne,42,39,44,45,40,38,38
39,Hiraan,Bulo Burto,45,41,50,47,,,
40,Hiraan,Jalalaqsi,54,51,57,,,,
41,Middle Shabelle,Jowhar,162,151,,184,166,150,159
42,Middle Shabelle,Adan Yabaal,64,61,60,50,35,36,37
43,Middle Shabelle,Balcad,129,88,94,92,73,77,89
44,Middle Shabelle,Cadale,64,22,23,22,22,23,36
45,Banadir,Mogadishu,173,84,82,96,155,171,154
46,Lower Shabelle,Marka,236,167,191,235,240,198,169
47,Lower Shabelle,Afgooye,98,56,136,135,,,
48,Lower Shabelle,Baraawe,135,72,62,69,102,132,91
49,Lower Shabelle,Kurtunwaarey,129,62,94,85,81,74,62
50,Lower Shabelle,Qoryooley,143,84,116,41,101,109,96
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,111,119,136,211,90,109,109
53,Bay,Baydhaba,79,71,88,98,76,108,96
54,Bay,Buur Hakaba,133,96,112,71,128,220,179
55,Bay,Diinsoor,63,60,57,65,84,97,112
56,Bay,Qansax Dheere,133,119,133,152,129,149,144
57,Bakool,Xudur,30,30,38,42,43,45,40
58,Bakool,Ceel Barde,,,32,31,36,41,
59,Bakool,Tayeeglow,63,54,52,58,60,61,60
60,Bakool,Waajid,32,32,37,38,,,
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,64,55,42,38,42,54,50
64,Gedo,Belet Xaawo,41,35,33,34,36,33,36
65,Gedo,Ceel Waaq,62,50,46,44,54,62,72
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,40,34,39,35,41,49,56
68,Middle Juba,Bu'aale,57,30,29,28,24,23,59
69,Middle Juba,Jilib,57,24,22,23,26,38,41
70,Middle Juba,Saakow,63,28,26,31,28,23,34
71,Lower Juba,Kismaayo,100,73,80,70,150,93,113
72,Lower Juba,Afmadow,38,46,75,55,63,56,62
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,107,111,81,70,101,93,79
