#,Region,District,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
,,,,,,,,,
1,Awdal,Borama,"425,000","459,000","420,000","500,000","455,000","400,000","375,000"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"400,000","400,000","350,000","400,000","400,000","450,000","450,000"
4,Awdal,Zeylac,"430,000","400,000","380,000","400,000","480,000","450,000","475,000"
5,Woqooyi Galbeed,Hargeysa,"512,500","531,000","490,000","500,000","520,000","495,000","500,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"472,500","372,000","315,000","372,500","370,000","387,500","395,000"
8,Togdheer,Burco,"535,000","576,000","500,000","565,000","552,000","555,000","525,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"1,437,500","1,587,500","1,582,500","1,662,500","1,755,000","1,875,000","1,850,000"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"1,387,500","1,390,000","1,380,000","1,425,000","1,462,000","1,387,500","1,425,000"
16,Sanaag,Ceerigaabo,"1,775,000","1,580,000","1,650,000","1,525,000","1,550,000","1,575,000","1,333,333"
17,Sanaag,Ceel Afweyn,"516,250","700,000","700,000","737,500","556,250","687,500","700,000"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"1,800,000","1,820,000","1,850,000","1,812,500","1,740,000","1,725,000","1,780,000"
20,Bari,Bandarbeyla,"1,425,000","1,400,000","1,462,500","1,425,000","1,490,000","1,500,000","1,500,000"
21,Bari,Caluula,"1,550,000","1,500,000","1,587,500","1,512,500","1,520,000","1,500,000","1,570,000"
22,Bari,Iskushuban,"1,537,500","1,500,000","1,562,500","1,500,000","1,350,000","1,387,500","1,420,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"2,037,500","2,128,000","1,972,500","1,982,500","2,012,000","1,992,500","2,160,000"
26,Nugaal,Burtinle,"1,720,000","1,824,000","1,870,000","1,940,000","1,982,000","1,720,000",
27,Nugaal,Eyl,"1,415,000","1,436,000","1,572,500","1,750,000","1,812,000","1,780,000","1,787,500"
28,Mudug,Gaalkacyo,"1,500,000","1,500,000","1,300,000","1,900,000","1,700,000","2,000,000","2,000,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"1,100,000","800,000","800,000","870,000","1,350,000","1,350,000","1,485,000"
31,Mudug,Jariiban,"1,703,750","1,841,000","1,820,000","1,865,000","1,916,000","1,933,750","1,877,500"
32,Mudug,Xarardheere,"850,000","850,000","850,000","850,000","850,000","860,000","850,000"
33,Galgaduud,Dhuusamarreeb,"1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,000,000"
34,Galgaduud,Cabudwaaq,"1,624,000","1,624,000","1,764,800","1,624,000","1,624,000","1,624,000","1,600,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"700,000","700,000","850,000","1,000,000","1,000,000","1,000,000","1,000,000"
38,Hiraan,Belet Weyne,"950,000","960,000","1,037,500","850,000","780,000","800,000","800,000"
39,Hiraan,Bulo Burto,"875,000","900,000","962,500","900,000","800,000","825,000","800,000"
40,Hiraan,Jalalaqsi,"950,000","960,000","912,500","900,000","960,000","1,150,000","850,000"
41,Middle Shabelle,Jowhar,"1,487,500","1,402,500","1,412,500","1,400,000","1,575,000","1,457,500","1,432,500"
42,Middle Shabelle,Adan Yabaal,"1,000,000","962,500","962,500","875,000","915,000","922,500","922,500"
43,Middle Shabelle,Balcad,"1,037,500","1,125,000","1,075,000","937,500","850,000","937,500","1,100,000"
44,Middle Shabelle,Cadale,"675,000","925,000","850,000","875,000","800,000",,
45,Banadir,Mogadishu,"1,625,000","1,620,000","1,775,000","1,650,000","1,660,000","1,615,000","1,600,000"
46,Lower Shabelle,Marka,"2,352,500","2,352,500","2,312,500","2,042,500","2,110,000","2,030,000","2,312,500"
47,Lower Shabelle,Afgooye,"1,350,000","1,350,000","1,600,000","1,250,000","1,450,000","1,650,000","1,250,000"
48,Lower Shabelle,Baraawe,"850,000","900,000","1,375,000","925,000","850,000","1,100,000","950,000"
49,Lower Shabelle,Kurtunwaarey,"937,500","962,500","962,500","862,500","800,000","1,075,000","1,050,000"
50,Lower Shabelle,Qoryooley,"788,750","1,002,500","1,000,000","975,000","1,087,500","1,012,500","962,500"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"1,412,500","1,375,000","1,587,500","1,425,000","1,575,000","1,475,000","1,537,500"
53,Bay,Baydhaba,"1,175,000","1,250,000","1,350,000","1,125,000","990,000","1,012,500","927,500"
54,Bay,Buur Hakaba,"1,250,000","1,340,000","1,212,500","1,175,000","1,130,000","1,150,000","1,262,500"
55,Bay,Diinsoor,"935,000","930,000","915,000","872,500","812,000","802,500","782,500"
56,Bay,Qansax Dheere,"1,192,500","1,346,000","1,262,500","1,125,000","960,000","1,247,500","1,172,500"
57,Bakool,Xudur,"950,000","1,000,000","1,175,000","987,500","990,000","950,000","962,500"
58,Bakool,Ceel Barde,"937,500","820,000","887,500","800,000","800,000","795,000","825,000"
59,Bakool,Tayeeglow,"850,000","900,000","937,500","825,000","820,000","825,000","800,000"
60,Bakool,Waajid,"962,500","1,016,000","1,005,000","1,027,500","1,092,000","1,080,000","1,082,500"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"857,500","832,000","850,000","875,000","884,000","825,000","837,500"
64,Gedo,Belet Xaawo,"875,000","907,000","915,000","925,000","944,000","930,000","910,000"
65,Gedo,Ceel Waaq,"945,000","940,000","925,000","925,000","922,000","935,000","922,500"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"902,500","910,000","910,000","925,000","960,000","837,500","862,500"
68,Middle Juba,Bu'aale,"725,000","750,000","712,500","775,000","725,000","787,500","787,500"
69,Middle Juba,Jilib,"737,500","752,500","725,000","787,500","737,500","720,000","772,500"
70,Middle Juba,Saakow,"700,000","712,500","712,500","762,500","612,500","640,000","667,500"
71,Lower Juba,Kismaayo,"1,400,000","1,350,000","1,475,000","1,095,000","1,200,000","1,200,000","1,075,000"
72,Lower Juba,Afmadow,"700,000","1,075,000","1,075,000","1,000,000","950,000","762,500","800,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"850,000","762,500","900,000","775,000","750,000","700,000","800,000"
