#,Region,District,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017
,,,,,,,,,
1,Awdal,Borama,"310,188","280,200","210,000","385,000","300,000","395,000","430,000"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"160,000","195,000","170,000","195,000","300,000","320,000","340,000"
4,Awdal,Zeylac,"360,000","400,000","400,000","385,000","300,000","400,000","430,000"
5,Woqooyi Galbeed,Hargeysa,"300,000","345,000","382,500","382,500","450,000","472,000","415,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"366,250","319,750","343,750","416,667","398,750","364,000","402,500"
8,Togdheer,Burco,"252,500","215,000","200,000","180,000","200,000","306,000","288,750"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"1,087,500","930,000","1,050,000","1,075,000","1,162,500","1,250,000","1,200,000"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"1,150,000","775,000","937,500","1,062,500","1,050,000","1,187,500","1,237,500"
16,Sanaag,Ceerigaabo,"2,100,000","590,000","612,500","637,500","687,500","850,000","1,250,000"
17,Sanaag,Ceel Afweyn,"812,500","630,000","662,500","570,000","577,500","850,000","325,000"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"1,312,500","1,340,000","1,400,000","1,400,000","1,400,000","1,575,000","1,687,500"
20,Bari,Bandarbeyla,"862,500","1,000,000","1,100,000","1,062,500","1,100,000","1,212,500","1,312,500"
21,Bari,Caluula,"1,250,000","1,280,000","1,300,000","1,275,000","1,275,000","1,400,000","1,500,000"
22,Bari,Iskushuban,"1,000,000","1,060,000","1,100,000","1,087,500","1,187,500","1,375,000","1,450,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"1,196,500","1,125,000","1,165,000","1,200,000","1,212,500","1,327,500","1,327,500"
26,Nugaal,Burtinle,"1,037,500","972,500","1,017,500","1,010,000","1,085,000","1,262,000","1,280,000"
27,Nugaal,Eyl,"845,000","815,000","821,250","870,000","1,005,000","1,218,000","1,125,000"
28,Mudug,Gaalkacyo,"900,000","920,000","900,000","925,000","1,000,000","1,000,000","1,000,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"700,000","600,000","650,000","700,000","700,000","1,000,000","840,000"
31,Mudug,Jariiban,"902,500","860,000","835,000","867,500","845,000","1,022,500","1,075,000"
32,Mudug,Xarardheere,"600,000","600,000","700,000","762,500","750,000","800,000","750,000"
33,Galgaduud,Dhuusamarreeb,"600,000","600,000","700,000","825,000","875,000","1,000,000","1,000,000"
34,Galgaduud,Cabudwaaq,"800,000","600,000","800,000","1,150,000","1,200,000","1,200,000","1,300,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"725,000","500,000","600,000","712,500","800,000","800,000","800,000"
38,Hiraan,Belet Weyne,"700,000","660,000","750,000","825,000","812,500","930,000","1,012,500"
39,Hiraan,Bulo Burto,"625,000","600,000","700,000","762,500","787,500","840,000","800,000"
40,Hiraan,Jalalaqsi,"762,500","720,000","775,000","850,000","925,000","1,060,000","1,100,000"
41,Middle Shabelle,Jowhar,"1,112,500","1,250,000","1,342,500","1,262,500","1,312,500","1,262,500","1,350,000"
42,Middle Shabelle,Adan Yabaal,"900,000","875,000","900,000","887,500","730,000","750,000","862,500"
43,Middle Shabelle,Balcad,"900,000","875,000","850,000","825,000","875,000","925,000","975,000"
44,Middle Shabelle,Cadale,"766,667","400,000","375,000","375,000","280,000","300,000","475,000"
45,Banadir,Mogadishu,"1,500,000","960,000","900,000","1,037,500","1,675,000","2,000,000","2,150,000"
46,Lower Shabelle,Marka,"1,885,000","1,885,000","2,002,500","2,230,000","2,232,500","2,312,500","2,022,500"
47,Lower Shabelle,Afgooye,"850,000","650,000","1,225,000","1,400,000","1,750,000","1,450,000","1,250,000"
48,Lower Shabelle,Baraawe,"887,500","625,000","575,000","600,000","900,000","1,350,000","1,037,500"
49,Lower Shabelle,Kurtunwaarey,"620,000","525,000","630,000","630,000","634,000","634,000","634,000"
50,Lower Shabelle,Qoryooley,"1,000,000","775,000","762,500","950,000","880,000","950,000","1,000,000"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"1,037,500","1,112,500","1,087,500","1,405,000","960,000","1,162,500","1,162,500"
53,Bay,Baydhaba,"750,000","680,000","775,000","825,000","812,500","1,100,000","987,500"
54,Bay,Buur Hakaba,"930,000","636,000","725,000","566,250","892,500","1,125,000","1,250,000"
55,Bay,Diinsoor,"582,500","488,000","442,500","452,500","510,000","768,000","745,000"
56,Bay,Qansax Dheere,"930,000","836,000","932,500","912,500","935,000","1,130,000","1,150,000"
57,Bakool,Xudur,"525,000","520,000","625,000","712,500","917,500","950,000","850,000"
58,Bakool,Ceel Barde,"512,500","470,000","482,500","500,000","532,500","660,000","687,500"
59,Bakool,Tayeeglow,"500,000","488,000","470,000","552,500","595,000","606,000","537,500"
60,Bakool,Waajid,"350,000","366,000","407,500","450,000","450,000","452,000","467,500"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"700,000","640,000","500,000","500,000","550,000","700,000","650,000"
64,Gedo,Belet Xaawo,"610,000","518,000","490,000","562,500","620,000","636,000","652,500"
65,Gedo,Ceel Waaq,"747,500","652,000","600,000","600,000","662,500","740,000","862,500"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"525,000","440,000","462,500","450,000","537,500","640,000","725,000"
68,Middle Juba,Bu'aale,"537,500","325,000","317,500","312,500","292,500","292,500","782,500"
69,Middle Juba,Jilib,"537,500","262,500","242,500","262,500","308,000","487,500","550,000"
70,Middle Juba,Saakow,"562,500","280,000","285,000","340,000","310,000","297,500","457,500"
71,Lower Juba,Kismaayo,"900,000","800,000","800,000","700,000","1,500,000","1,300,000","1,467,500"
72,Lower Juba,Afmadow,"500,000","550,000","900,000","700,000","1,000,000","900,000","870,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"800,000","1,000,000","725,000","600,000","835,000","875,000","745,000"
