#,Region,District,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
,,,,,,,,,
1,Awdal,Borama,"4,000","4,000","3,500","4,000","4,000","4,000","4,000"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,,,,,,,
4,Awdal,Zeylac,"4,500","4,500","5,000","5,000","7,000","7,000","6,000"
5,Woqooyi Galbeed,Hargeysa,"4,000","4,000","4,000","4,000","4,000","4,000","4,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,,
8,Togdheer,Burco,"4,000","4,250","4,000","4,000","4,000","4,375","4,500"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,,,,,,,
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,,,,,,,"14,500"
16,Sanaag,Ceerigaabo,,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,,"16,250"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,,,,,,,
20,Bari,Bandarbeyla,,,,,,,
21,Bari,Caluula,,,,,,,
22,Bari,Iskushuban,,,,,,,
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"21,250","24,500","24,000","26,000","26,000","26,500","27,000"
26,Nugaal,Burtinle,,,,,,,
27,Nugaal,Eyl,,,,,,,
28,Mudug,Gaalkacyo,"12,000","14,000","14,000","16,000","17,000","17,750","18,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,,,,,,,"20,000"
31,Mudug,Jariiban,,,,,,,
32,Mudug,Xarardheere,"11,000","10,000","13,000","14,000","13,000","13,750","15,000"
33,Galgaduud,Dhuusamarreeb,"16,000","17,000","17,000","18,000","18,000","18,000","18,000"
34,Galgaduud,Cabudwaaq,"8,000","15,000","18,000","19,500","19,800",,
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,,
38,Hiraan,Belet Weyne,"12,500","10,500","11,000","10,500","10,400","11,500","13,000"
39,Hiraan,Bulo Burto,"13,250","14,000","12,000","10,500","10,400","11,500","11,000"
40,Hiraan,Jalalaqsi,"10,600","9,000","9,000",,,,"10,000"
41,Middle Shabelle,Jowhar,"10,066","8,200","6,250","5,175","5,100","5,825","6,850"
42,Middle Shabelle,Adan Yabaal,,,,,,,
43,Middle Shabelle,Balcad,"10,000","10,600","8,000",,,,"7,000"
44,Middle Shabelle,Cadale,"10,000","10,000","9,000",,,,"12,000"
45,Banadir,Mogadishu,"10,325","9,233","8,000","6,225","6,340","7,650","8,650"
46,Lower Shabelle,Marka,"8,150","8,625","7,300",,,,"8,000"
47,Lower Shabelle,Afgooye,"10,000","8,000","8,334","7,334","7,667","8,500","8,667"
48,Lower Shabelle,Baraawe,"8,625","7,000","7,050",,,,"6,550"
49,Lower Shabelle,Kurtunwaarey,"8,000","6,750","6,250",,,,"4,800"
50,Lower Shabelle,Qoryooley,"7,125","5,625","5,500","5,250","5,125","6,292","7,000"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"9,333","9,333","9,333",,"9,333",,"9,333"
53,Bay,Baydhaba,"8,625","8,200","8,100","6,800","7,500","9,113","9,450"
54,Bay,Buur Hakaba,"7,000","7,500","7,000",,,,"7,000"
55,Bay,Diinsoor,"7,500","8,500","8,700","8,250","7,650","7,750","8,500"
56,Bay,Qansax Dheere,"5,750","5,750","4,400","5,750","6,000","7,500","8,000"
57,Bakool,Xudur,"15,750","15,000","15,000","16,500","16,700","16,250","15,250"
58,Bakool,Ceel Barde,,,,,,,"15,000"
59,Bakool,Tayeeglow,"6,500","7,000","7,000",,,,"8,000"
60,Bakool,Waajid,"6,875","9,000","6,000","7,000","6,000","7,500","7,000"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"10,375","9,500","10,000","10,000","10,600","11,000","12,000"
64,Gedo,Belet Xaawo,,,,,,,
65,Gedo,Ceel Waaq,"15,000","13,000","13,800","15,000","14,800","14,000","14,000"
66,Gedo,Doolow,"14,000","14,000","14,000",,,,
67,Gedo,Luuq,"13,000","13,000","13,000","13,000","13,000","13,000","13,500"
68,Middle Juba,Bu'aale,"10,500","10,000","9,000","9,500","8,250","8,300","9,500"
69,Middle Juba,Jilib,"9,750","10,000","9,500","9,750","9,000","9,000","9,375"
70,Middle Juba,Saakow,"10,250","10,000","9,125","9,000","8,550","8,550","9,000"
71,Lower Juba,Kismaayo,"14,000","12,000","10,000","10,000","10,000","10,000","9,000"
72,Lower Juba,Afmadow,"17,000","14,000","12,000","12,000","12,000","12,000","13,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"9,500","10,000","9,300","8,000","8,000","8,000","7,500"
