#,Region,District,Jun-2021,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021
,,,,,,,,,
1,Awdal,Borama,"6,500","6,000","6,000","6,000","6,125","6,000","6,500"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"6,750","6,500","6,500","6,875","6,500","6,500","7,000"
4,Awdal,Zeylac,"9,000","10,000","8,400","9,000","8,000","6,760","8,000"
5,Woqooyi Galbeed,Hargeysa,"7,000","7,000","7,000","7,000","7,000","7,000","6,750"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"8,500","8,333","10,400","8,375","7,625","8,300","8,375"
8,Togdheer,Burco,"5,625","5,500","5,240","5,000","5,375","5,400","5,500"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"29,000","29,000","29,000","31,250","32,000","33,600","32,000"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"30,500","31,500","32,000","25,250","32,625","33,600","34,000"
16,Sanaag,Ceerigaabo,"21,750","21,500","23,000","22,000","22,000","22,000","22,750"
17,Sanaag,Ceel Afweyn,"8,000","8,000","7,600","8,000","8,000","8,000","7,750"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"24,500","26,000","27,000","28,500","28,000","29,200","28,000"
20,Bari,Bandarbeyla,"27,500","29,000","29,200","30,500","32,500","35,600","36,000"
21,Bari,Caluula,"32,000","34,250","35,000","36,000","36,000","36,000","36,000"
22,Bari,Iskushuban,"26,500","28,250","29,800","32,000","32,000","33,600","34,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"26,375","26,625","26,500","27,250","27,250","28,600","29,000"
26,Nugaal,Burtinle,"27,250","27,500","27,500","28,250","28,000","28,800","30,500"
27,Nugaal,Eyl,"29,125","29,250","29,400","29,250","30,000","31,200","32,000"
28,Mudug,Gaalkacyo,"28,000","28,000","28,000","28,000","28,000","27,400","29,500"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"39,000","39,000","39,000","39,000",,"33,000","33,000"
31,Mudug,Jariiban,"29,000","28,250","28,000","30,000","30,000","30,600","32,000"
32,Mudug,Xarardheere,"18,250","18,000","18,200","17,750","18,000","17,400","17,250"
