#,Region,District,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020
,,,,,,,,,
1,Awdal,Borama,9,10,10,10,11,10,10
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,17,17,17,20,,,
4,Awdal,Zeylac,15,17,17,17,17,17,18
5,Woqooyi Galbeed,Hargeysa,10,10,11,10,10,10,8
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,12,13,13,12,14,14,14
8,Togdheer,Burco,9,8,8,9,10,9,8
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,8,8,8,7,7,7,8
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,,,,,,,
16,Sanaag,Ceerigaabo,10,10,10,10,10,10,9
17,Sanaag,Ceel Afweyn,,,,,,,
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,7,7,8,7,7,7,7
20,Bari,Bandarbeyla,6,6,6,6,6,6,6
21,Bari,Caluula,8,8,8,8,8,8,9
22,Bari,Iskushuban,6,7,7,7,7,7,6
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,7,6,6,7,6,7,7
26,Nugaal,Burtinle,,,,,,,5
27,Nugaal,Eyl,4,5,,10,,5,5
28,Mudug,Gaalkacyo,7,8,7,8,7,8,8
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,6,6,,6,,1,
31,Mudug,Jariiban,4,3,4,3,,3,
32,Mudug,Xarardheere,3,3,3,3,3,3,3
33,Galgaduud,Dhuusamarreeb,8,8,6,7,7,8,9
34,Galgaduud,Cabudwaaq,3,3,4,4,4,4,4
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,9,11,10,10,9,9,12
38,Hiraan,Belet Weyne,10,11,10,9,9,9,7
39,Hiraan,Bulo Burto,,,,,,,
40,Hiraan,Jalalaqsi,9,8,6,6,,6,6
41,Middle Shabelle,Jowhar,15,16,17,19,16,18,20
42,Middle Shabelle,Adan Yabaal,2,3,3,2,2,3,3
43,Middle Shabelle,Balcad,3,5,5,6,,6,7
44,Middle Shabelle,Cadale,1,1,1,3,2,1,
45,Banadir,Mogadishu,11,8,7,9,14,9,10
46,Lower Shabelle,Marka,7,5,7,8,9,9,10
47,Lower Shabelle,Afgooye,,,,,,,
48,Lower Shabelle,Baraawe,2,3,3,,,9,7
49,Lower Shabelle,Kurtunwaarey,10,8,10,,21,16,9
50,Lower Shabelle,Qoryooley,9,8,10,12,16,13,14
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,5,8,9,10,11,10,8
53,Bay,Baydhaba,18,17,16,18,16,14,15
54,Bay,Buur Hakaba,22,18,18,22,21,17,19
55,Bay,Diinsoor,10,9,8,12,13,12,10
56,Bay,Qansax Dheere,11,11,15,14,14,13,12
57,Bakool,Xudur,7,8,6,6,6,6,6
58,Bakool,Ceel Barde,3,3,3,3,4,3,3
59,Bakool,Tayeeglow,9,11,12,13,11,9,10
60,Bakool,Waajid,,,,,,,
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,20,20,20,20,19,18,17
64,Gedo,Belet Xaawo,10,11,10,9,10,10,10
65,Gedo,Ceel Waaq,5,6,5,6,8,6,6
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,21,22,24,23,22,22,17
68,Middle Juba,Bu'aale,4,4,4,6,12,14,13
69,Middle Juba,Jilib,4,4,4,6,12,13,13
70,Middle Juba,Saakow,4,4,4,6,12,13,12
71,Lower Juba,Kismaayo,7,8,8,9,10,11,12
72,Lower Juba,Afmadow,6,7,6,6,6,7,7
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,9,10,10,15,14,16,13
