#,Region,District,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
,,,,,,,,,
1,Awdal,Borama,"63,000","64,500","67,000","70,000","70,000","70,000","70,000"
2,Awdal,Baki,,,,,,,
3,Awdal,Lughaye,"70,000","70,000","70,000","80,000","90,000","90,000","90,000"
4,Awdal,Zeylac,"85,000","85,000","85,000","85,000","85,000","100,000","100,000"
5,Woqooyi Galbeed,Hargeysa,"50,000","50,000","50,000","50,000","50,000","50,000","55,000"
6,Woqooyi Galbeed,Berbera,,,,,,,
7,Woqooyi Galbeed,Gebiley,"75,000","75,000","75,000","75,000","75,000","75,000","80,000"
8,Togdheer,Burco,"40,000","40,000","40,000","45,000","50,000","50,000","50,000"
9,Togdheer,Buuhoodle,,,,,,,
10,Togdheer,Owdweyne,,,,,,,
11,Togdheer,Sheikh,,,,,,,
12,Sool,Laas Caanood,"150,000","150,000","150,000","150,000","150,000","137,500","135,000"
13,Sool,Caynabo,,,,,,,
14,Sool,Taleex,,,,,,,
15,Sool,Xudun,"130,000","130,000","130,000","130,000","130,000","123,750","131,250"
16,Sanaag,Ceerigaabo,"140,000","137,500","150,000","150,000","142,000","147,500","145,000"
17,Sanaag,Ceel Afweyn,"37,500","38,750","40,000","40,000","40,000","40,000","42,500"
18,Sanaag,Laasqoray,,,,,,,
19,Bari,Bossaso,"80,000","80,000","85,000","100,000","100,000","100,000","100,000"
20,Bari,Bandarbeyla,"125,000","125,000","125,000","125,000","125,000","125,000","125,000"
21,Bari,Caluula,"200,000","200,000","200,000","200,000","200,000","200,000","200,000"
22,Bari,Iskushuban,"150,000","150,000","150,000","150,000","150,000","150,000","150,000"
23,Bari,Qandala,,,,,,,
24,Bari,Qardho,,,,,,,
25,Nugaal,Garoowe,"120,000","120,000","120,000","120,000","132,000","131,250","141,250"
26,Nugaal,Burtinle,"90,000","100,000","100,000","82,500","80,000","77,500","87,500"
27,Nugaal,Eyl,"100,000","100,000","100,000","112,500","123,000","123,750","122,500"
28,Mudug,Gaalkacyo,"120,000","120,000","120,000","120,000","120,000","140,000","140,000"
29,Mudug,Galdogob,,,,,,,
30,Mudug,Hobyo,"150,000","150,000","150,000","150,000","150,000","150,000","150,000"
31,Mudug,Jariiban,"100,000","100,000","100,000","105,000","88,000","95,000","105,000"
32,Mudug,Xarardheere,"50,000","50,000","50,000","50,000","50,000","50,000","50,000"
33,Galgaduud,Dhuusamarreeb,"100,000","100,000","100,000","100,000","100,000","100,000","100,000"
34,Galgaduud,Cabudwaaq,"100,000","100,000","100,000","100,000","100,000","100,000","100,000"
35,Galgaduud,Cadaado,,,,,,,
36,Galgaduud,Ceel Buur,,,,,,,
37,Galgaduud,Ceel Dheer,"100,000","100,000","100,000","100,000","100,000","100,000","100,000"
38,Hiraan,Belet Weyne,"131,250","130,000","125,000","127,500","128,000","130,000","130,000"
39,Hiraan,Bulo Burto,"80,000","80,000","75,000","78,750","80,000","100,000","85,000"
40,Hiraan,Jalalaqsi,"71,000","72,000","72,000","72,000","71,600","72,000","74,000"
41,Middle Shabelle,Jowhar,"107,500","110,000","110,000","110,000","115,000","115,000","98,750"
42,Middle Shabelle,Adan Yabaal,"46,250","36,250","43,750","43,750","50,000","57,500","41,250"
43,Middle Shabelle,Balcad,"30,000","30,000","35,000","35,000","31,250","33,750","32,500"
44,Middle Shabelle,Cadale,"50,000","38,750","38,750","38,750","33,750","33,750","27,500"
45,Banadir,Mogadishu,"91,250","84,000","82,500","77,500","90,000","100,000","110,000"
46,Lower Shabelle,Marka,"45,000","47,500","47,500","62,500","53,750","48,750","51,250"
47,Lower Shabelle,Afgooye,"95,000","65,000","65,000","55,000","65,000","45,000","45,000"
48,Lower Shabelle,Baraawe,"50,000","47,500","50,000","35,000","55,000","35,000","35,000"
49,Lower Shabelle,Kurtunwaarey,"50,000","50,000","67,500","57,500","75,000","60,000","76,250"
50,Lower Shabelle,Qoryooley,"93,750","75,000","71,250","65,000","65,000","56,250","61,250"
51,Lower Shabelle,Sablaale,,,,,,,
52,Lower Shabelle,Wanla Weyn,"72,500","63,750","65,000","65,000","65,000","157,500","76,750"
53,Bay,Baydhaba,"100,000","100,000","100,000","100,000","105,000","110,000","110,000"
54,Bay,Buur Hakaba,"92,500","90,000","90,000","82,500","80,000","86,250","96,250"
55,Bay,Diinsoor,"55,000","58,000","55,000","57,500","57,500","62,500","55,000"
56,Bay,Qansax Dheere,"60,000","56,000","52,500","52,500","57,500","67,500","55,000"
57,Bakool,Xudur,"66,250","67,000","61,250","61,250","64,000","66,250","70,000"
58,Bakool,Ceel Barde,"41,250","47,000","42,500","45,000","46,000","42,500","42,500"
59,Bakool,Tayeeglow,"60,000","76,250","82,500","80,000","80,000","76,250","70,000"
60,Bakool,Waajid,"47,500","53,000","47,500","50,000","45,000","53,750","53,750"
61,Bakool,Rab Dhuure,,,,,,,
62,Gedo,Garbahaarey,,,,,,,
63,Gedo,Baardheere,"102,500","101,250","100,000","100,000","107,000","132,500","122,500"
64,Gedo,Belet Xaawo,"187,500","167,500","180,000","196,500","187,000","176,250","200,000"
65,Gedo,Ceel Waaq,"97,500","95,000","100,000","100,000","98,000","102,500","97,500"
66,Gedo,Doolow,,,,,,,
67,Gedo,Luuq,"175,000","167,500","195,000","182,500","172,000","195,000","185,000"
68,Middle Juba,Bu'aale,"82,500","85,000","100,000","91,250","91,250","87,500","90,000"
69,Middle Juba,Jilib,"70,000","77,500","87,500","80,000","80,000","75,000","72,500"
70,Middle Juba,Saakow,"75,000","85,000","93,750","92,500","95,000","91,500","72,500"
71,Lower Juba,Kismaayo,"150,000","180,000","180,000","180,000","180,000","180,000","180,000"
72,Lower Juba,Afmadow,"90,000","90,000","80,000","70,000","80,000","80,000","80,000"
73,Lower Juba,Badhaadhe,,,,,,,
74,Lower Juba,Jamaame,"88,750","99,500","80,000","90,000","98,750","111,250","92,500"
