#,Region,District,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023
,,,,,,,,
1,Awdal,Borama,33,274,375,1025,1212,274
2,Awdal,Baki,33,87,86,36,83,24
3,Awdal,Lughaye,18,361,239,12,35,19
4,Awdal,Zeylac,150,121,17,12,23,17
5,Woqooyi Galbeed,Hargeysa,108,363,397,266,560,142
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,27,,,,,
8,Togdheer,Burco,293,436,5032,180,6524,299
9,Togdheer,Buuhoodle,15317,29101,282,351,5216,276
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,10333,12076,237,230,1094,619
13,Sool,Caynabo,38,,,,20,
14,Sool,Taleex,490,6055,435,,35,289
15,Sool,Xudun,1356,9854,335,,106,178
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,,,972,,350,1368
19,Bari,Bossaso,2893,18912,4229,1914,2591,2372
20,Bari,Bandarbeyla,3,,156,,7,37
21,Bari,Caluula,107,,,311,1861,1105
22,Bari,Iskushuban,,,190,310,2365,3472
23,Bari,Qandala,28,,,13,1458,1979
24,Bari,Qardho,,4278,1637,1389,4086,2618
25,Nugaal,Garoowe,20850,27072,7823,787,3384,39314
26,Nugaal,Burtinle,,9384,4273,7675,7808,998
27,Nugaal,Eyl,,,,,224,153
28,Mudug,Gaalkacyo,,1878,3094,209,650,233
29,Mudug,Galdogob,,,247,353,1091,580
30,Mudug,Hobyo,,,,,8,43
31,Mudug,Jariiban,,,35,71,279,117
32,Mudug,Xarardheere,26259,,,,,
33,Galgaduud,Dhuusamarreeb,32118,,3300,,,
34,Galgaduud,Cabudwaaq,,,,,128,267
35,Galgaduud,Cadaado,22229,,5250,,36,345
36,Galgaduud,Ceel Buur,,,,,,829
37,Galgaduud,Ceel Dheer,93962,,,,,
38,Hiraan,Belet Weyne,,70,1052,2191,259678,240
39,Hiraan,Bulo Burto,,,28,8,2608,
40,Hiraan,Jalalaqsi,,2867,28,,6,
41,Middle Shabelle,Jowhar,349,1859,165,4922,6353,637
42,Middle Shabelle,Adan Yabaal,,,1800,,38,210
43,Middle Shabelle,Balcad,1880,31,45,209,431,129
44,Middle Shabelle,Cadale,30,94,43,102,175,54
45,Banadir,Mogadishu,19052,38850,24885,17581,36199,12052
46,Lower Shabelle,Marka,,22,,102,10767,1757
47,Lower Shabelle,Afgooye,244,2878,2806,129,1761,1241
48,Lower Shabelle,Baraawe,,,,,783,32
49,Lower Shabelle,Kurtunwaarey,107,,,6,7176,
50,Lower Shabelle,Qoryooley,,,,24,4784,13
51,Lower Shabelle,Sablaale,,,,,150,
52,Lower Shabelle,Wanla Weyn,,,,8,188,
53,Bay,Baydhaba,12691,18390,178407,6805,8672,1677
54,Bay,Buur Hakaba,,1297,2121,1269,1347,195
55,Bay,Diinsoor,2692,5712,3116,591,851,257
56,Bay,Qansax Dheere,2286,3431,2373,396,598,167
57,Bakool,Xudur,4642,3628,3003,1028,1993,790
58,Bakool,Ceel Barde,11427,7425,5183,1031,2112,6000
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,,,,,,
62,Gedo,Garbahaarey,1649,2591,1767,3206,4257,479
63,Gedo,Baardheere,8480,7707,114495,20351,27607,3174
64,Gedo,Belet Xaawo,,6391,8068,8379,10975,969
65,Gedo,Ceel Waaq,,,173,180,180,
66,Gedo,Doolow,79,559,882,755,1140,14
67,Gedo,Luuq,131,531,394,543,881,12
68,Middle Juba,Bu'aale,,,65,361,827,603
69,Middle Juba,Jilib,,,61,265,643,549
70,Middle Juba,Saakow,4817,6339,7347,6190,8290,6366
71,Lower Juba,Kismaayo,3540,465,5918,2038,3852,3775
72,Lower Juba,Afmadow,1091,2330,832,1106,2358,738
73,Lower Juba,Badhaadhe,,58,33,750,990,130
74,Lower Juba,Jamaame,184,287,909,450,711,107
