#,Region,District,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024
,,,,,,,,
1,Awdal,Borama,184,,,,6,
2,Awdal,Baki,121,187,,,6,
3,Awdal,Lughaye,125,127,,,30,
4,Awdal,Zeylac,51,,,,,
5,Woqooyi Galbeed,Hargeysa,37,100,,609,42,
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,361,183,,596,78,
9,Togdheer,Buuhoodle,1770,,54,,64,
10,Togdheer,Owdweyne,,,,,,
11,Togdheer,Sheikh,,,,,,
12,Sool,Laas Caanood,526,1089,,,203,
13,Sool,Caynabo,9813,,,,,
14,Sool,Taleex,,,,785,17,
15,Sool,Xudun,,,,,,
16,Sanaag,Ceerigaabo,,,,,,
17,Sanaag,Ceel Afweyn,,,,,,
18,Sanaag,Laasqoray,220,6,,,290,
19,Bari,Bossaso,127,60,,648,95,
20,Bari,Bandarbeyla,1266,67,,806,65,
21,Bari,Caluula,155,22,,,8,
22,Bari,Iskushuban,488,82,18,18,35,
23,Bari,Qandala,94,19,,249,12,
24,Bari,Qardho,4654,1500,50,107,1494,
25,Nugaal,Garoowe,2393,64,,214,935,
26,Nugaal,Burtinle,3381,,,80,218,
27,Nugaal,Eyl,3605,86,,793,593,
28,Mudug,Gaalkacyo,194910,162,,200,198,
29,Mudug,Galdogob,441,230,,30,266,
30,Mudug,Hobyo,2868,,,,,
31,Mudug,Jariiban,6547,32,,,24,
32,Mudug,Xarardheere,7614,,,,6,
33,Galgaduud,Dhuusamarreeb,5887,,,,2610,
34,Galgaduud,Cabudwaaq,,,,,162,
35,Galgaduud,Cadaado,,,,117,9254,
36,Galgaduud,Ceel Buur,,,,,,
37,Galgaduud,Ceel Dheer,,,,,,
38,Hiraan,Belet Weyne,225316,12,21,30,2419,
39,Hiraan,Bulo Burto,4308,1080,,,,
40,Hiraan,Jalalaqsi,,53196,,,,
41,Middle Shabelle,Jowhar,4741,360,70,548,1333,
42,Middle Shabelle,Adan Yabaal,,,54,,164,
43,Middle Shabelle,Balcad,191,1253,140,421,114,
44,Middle Shabelle,Cadale,,,64,,,
45,Banadir,Mogadishu,27551,9250,2929,27,1458,
46,Lower Shabelle,Marka,1226,362,,736,239,
47,Lower Shabelle,Afgooye,27661,398,,,1541,
48,Lower Shabelle,Baraawe,148,,,,,
49,Lower Shabelle,Kurtunwaarey,3500,,,,,
50,Lower Shabelle,Qoryooley,,,,,,
51,Lower Shabelle,Sablaale,,,,,,
52,Lower Shabelle,Wanla Weyn,,,,,,
53,Bay,Baydhaba,67328,695,,329,1132,
54,Bay,Buur Hakaba,531,261,,332,96,
55,Bay,Diinsoor,589,352,,100,11789,
56,Bay,Qansax Dheere,617,354,,6,277,
57,Bakool,Xudur,1552,441,,,596,
58,Bakool,Ceel Barde,509,585,,,675,
59,Bakool,Tayeeglow,,,,,,
60,Bakool,Waajid,,,,,,
61,Bakool,Rab Dhuure,300,,,,,
62,Gedo,Garbahaarey,94862,67,81,58,685,
63,Gedo,Baardheere,84264,1704,1444,1614,1718,
64,Gedo,Belet Xaawo,,720,1228,287,667,
65,Gedo,Ceel Waaq,46272,93,22,114,533,
66,Gedo,Doolow,14779,1078,1050,69,778,
67,Gedo,Luuq,98147,629,787,1130,958,
68,Middle Juba,Bu'aale,1110,1069,856,18,547,
69,Middle Juba,Jilib,1050,1008,834,12,498,
70,Middle Juba,Saakow,95640,1557,,369,1952,
71,Lower Juba,Kismaayo,91913,2102,699,126,691,
72,Lower Juba,Afmadow,26982,2374,2203,96,1811,
73,Lower Juba,Badhaadhe,6106,529,420,769,472,
74,Lower Juba,Jamaame,2629,137,36,,6,
