#,Region,District,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024
,,,,,,,,
1,Awdal,Borama,188,308,,,6,
2,Awdal,Baki,116,6,,,6,
3,Awdal,Lughaye,135,,,,30,
4,Awdal,Zeylac,42,,,,,
5,Woqooyi Galbeed,Hargeysa,9,58,,18,24,
6,Woqooyi Galbeed,Berbera,,,,,,
7,Woqooyi Galbeed,Gebiley,,,,,,
8,Togdheer,Burco,298,117,,62,66,
9,Togdheer,Buuhoodle,11895,829,54,14,125,
10,Togdheer,Owdweyne,6,7,,6,6,
11,Togdheer,Sheikh,13,7,,,,
12,Sool,Laas Caanood,28,17,,6,148,
13,Sool,Caynabo,48,29,,6,6,
14,Sool,Taleex,16,62,,19,76,
15,Sool,Xudun,,232,,,17,
16,Sanaag,Ceerigaabo,,14,,,,
17,Sanaag,Ceel Afweyn,,49,,,,
18,Sanaag,Laasqoray,44,77,,,66,
19,Bari,Bossaso,62,76,,18,129,
20,Bari,Bandarbeyla,1455,327,14,36,46,
21,Bari,Caluula,177,42,,,20,
22,Bari,Iskushuban,309,158,26,6,62,
23,Bari,Qandala,175,35,,12,87,
24,Bari,Qardho,2309,822,,275,1166,
25,Nugaal,Garoowe,9921,64,,271,317,
26,Nugaal,Burtinle,704,10,,144,63,
27,Nugaal,Eyl,629,93,,200,595,
28,Mudug,Gaalkacyo,195490,229,16,54,213,
29,Mudug,Galdogob,267,194,,76,274,
30,Mudug,Hobyo,2873,,,,24,
31,Mudug,Jariiban,6553,32,,10,46,
32,Mudug,Xarardheere,7645,66,210,254,12313,
33,Galgaduud,Dhuusamarreeb,5887,,,121,28,
34,Galgaduud,Cabudwaaq,,,,6,186,
35,Galgaduud,Cadaado,,,,18,,
36,Galgaduud,Ceel Buur,269,47,36,215,,
37,Galgaduud,Ceel Dheer,11,14,50,66,52,
38,Hiraan,Belet Weyne,225451,265,107,24,224,
39,Hiraan,Bulo Burto,4378,1127,,57,44,
40,Hiraan,Jalalaqsi,19,53421,83,165,3487,
41,Middle Shabelle,Jowhar,4831,1278,289,229,445,
42,Middle Shabelle,Adan Yabaal,26,121,102,128,212,
43,Middle Shabelle,Balcad,881,1840,864,27,146,
44,Middle Shabelle,Cadale,25,68,139,12,6,
45,Banadir,Mogadishu,20378,36,18,98,110,
46,Lower Shabelle,Marka,1315,115,12,279,257,
47,Lower Shabelle,Afgooye,24300,2449,673,48,1796,
48,Lower Shabelle,Baraawe,,56,16,12,18,
49,Lower Shabelle,Kurtunwaarey,6980,4925,194,12,78,
50,Lower Shabelle,Qoryooley,3999,218,56,96,317,
51,Lower Shabelle,Sablaale,145,151,28,,42,
52,Lower Shabelle,Wanla Weyn,1909,71,626,132,50,
53,Bay,Baydhaba,67339,1210,505,570,1000,
54,Bay,Buur Hakaba,531,416,152,342,438,
55,Bay,Diinsoor,639,1031,368,1032,13452,
56,Bay,Qansax Dheere,649,574,419,407,850,
57,Bakool,Xudur,1555,569,282,236,779,
58,Bakool,Ceel Barde,509,734,142,123,764,
59,Bakool,Tayeeglow,,83,82,170,465,
60,Bakool,Waajid,,195,268,277,218,
61,Bakool,Rab Dhuure,300,182,265,167,153,
62,Gedo,Garbahaarey,94830,67,73,206,702,
63,Gedo,Baardheere,84185,1031,907,706,2135,
64,Gedo,Belet Xaawo,,,,6,,
65,Gedo,Ceel Waaq,46272,244,151,108,524,
66,Gedo,Doolow,14779,,,,,
67,Gedo,Luuq,98147,,,9,,
68,Middle Juba,Bu'aale,1254,1499,1387,1113,978,
69,Middle Juba,Jilib,1214,1318,1341,824,812,
70,Middle Juba,Saakow,96875,2125,591,805,912,
71,Lower Juba,Kismaayo,29132,596,171,429,210,
72,Lower Juba,Afmadow,25782,1939,1428,829,972,
73,Lower Juba,Badhaadhe,6147,508,360,211,262,
74,Lower Juba,Jamaame,65110,1199,555,641,505,
